price,salary,expenses,usage,need_score,safety,regret
86566,75176,59261,29,0.57,0.2002279450888581,0.8648645133191466
22616,54560,16053,21,0.8599999999999999,0.6259545454545453,0.312298234868584
63874,190354,124719,21,0.19999999999999998,0.30725584962753605,0.6377763591308595
98445,59224,41980,9,0.42999999999999994,-0.16320822639470484,1.0
7283,28666,8600,11,0.33999999999999997,0.41577799483708916,0.6245928732170508
46265,87526,75835,21,0.29,0.1918529579782008,0.7572874334945296
50340,66163,24816,20,0.48,0.3657160648700936,0.6601174005623125
42449,171878,6759,23,0.33999999999999997,0.6421787314257787,0.47064546934559837
73347,193532,95397,8,0.42999999999999994,0.29813202984519355,0.6731887122378017
38500,179937,142717,18,0.72,0.4145509372724898,0.5570631109887256
76129,68770,18087,2,0.33999999999999997,0.08469448887596337,0.9042294062898009
77034,148177,114575,3,0.19999999999999998,0.02474425855564627,0.9801930303262204
24660,92258,44986,28,0.48,0.5487674998374125,0.4447152428632271
84958,182893,118453,16,0.6599999999999999,0.35957797181958845,0.6700770910788308
16532,26150,9425,23,0.19999999999999998,0.3561720841300191,0.6283505939042814
9205,182491,123865,1,0.42999999999999994,0.2523694264374681,0.8134188989766399
34072,136243,19596,6,0.48,0.4714427310026937,0.4409019166503956
18271,140674,125307,24,0.6599999999999999,0.4427307960248517,0.4905548031973505
28356,179601,40954,14,0.42999999999999994,0.5304239341651772,0.46350373386060584
52193,43752,22685,4,0.57,0.04572526970195656,1.0
57884,81268,43243,6,0.52,0.18948033666387756,0.8374982836561295
17225,21622,13041,21,0.19999999999999998,0.18975302932198687,0.8458281032015542
93565,67924,13646,13,0.6599999999999999,0.23439096637418283,0.698971810086403
86645,187469,133575,28,0.19999999999999998,0.31633795454181757,0.6724117502896637
97499,175834,16046,3,0.6599999999999999,0.4251490155487563,0.6352305929727569
22292,140900,94399,26,0.33999999999999997,0.4465479063165365,0.5531852701416303
66517,196492,43890,9,0.33999999999999997,0.4010960446226819,0.5659655140882502
34508,188976,59912,29,0.42999999999999994,0.6374044534755736,0.3875824275300319
23551,40581,28393,19,0.43999999999999995,0.26803139400211917,0.7585983614664084
94506,172592,41408,17,0.71,0.5227619820153888,0.5180729438702897
58553,152822,72957,8,0.42999999999999994,0.3030970540890709,0.7278360438964256
38141,110600,32935,16,0.38,0.45142947558770347,0.49451769739188334
83941,100559,78543,27,0.33999999999999997,0.20915132409829057,0.8435063185683547
37765,45510,24426,27,0.33999999999999997,0.3083678312458801,0.6699073573825042
78687,154055,28510,7,0.52,0.3987428515789816,0.5857985422475864
27845,135608,12564,1,0.7999999999999999,0.5513398914518317,0.4843300880584406
16871,89346,44974,29,0.33999999999999997,0.5340041188189734,0.4683467418372139
85931,32984,5271,12,0.42999999999999994,-0.19649175357749205,1.0
2550,52733,25144,13,0.94,0.6067660857527544,0.36709091288958223
41100,132573,124076,16,0.29,0.17963183302784125,0.8978931916128626
45528,63001,6828,11,0.6599999999999999,0.44785174838494624,0.5022305495781142
80597,146295,39636,25,0.48,0.5203508664000821,0.45583024855144955
77629,84754,39157,11,0.52,0.20641697147037308,0.8234483306028924
81912,165271,123533,5,0.29,0.08933041489432508,0.9422418997823718
84886,193946,12657,18,0.48,0.566592267950873,0.5560998407564124
34160,27906,12287,15,0.52,0.16264731598939308,0.7250693240609151
65660,63642,37284,3,0.57,0.05715159800131986,0.898929842644041
65272,147015,47520,11,0.6599999999999999,0.44551249872461995,0.598692543103339
95161,132217,46873,5,0.72,0.30827368643971653,0.6441921239900171
10016,65648,43001,29,0.6599999999999999,0.5802191079697782,0.47496658549975174
7814,119616,91231,16,0.33999999999999997,0.33732269930444087,0.6693056040937984
52256,125228,38130,25,0.52,0.5590200913533715,0.4507225497067209
68844,69708,14017,19,0.57,0.38428570608825385,0.6077805717262144
92741,187581,47534,4,0.57,0.3613163966499806,0.6713103380379933
37811,183038,149059,24,0.52,0.4082832417312252,0.4970894590035766
42707,49257,26736,2,0.72,0.15877848833668318,0.8188998309357904
74109,143797,68888,22,0.6599999999999999,0.4717625958816943,0.5379419037632212
38067,87889,28821,15,0.33999999999999997,0.39089223907428683,0.6873839623874302
45069,49241,35678,2,0.57,0.026594321804999876,0.9701181651413507
82458,157612,102768,15,0.19999999999999998,0.19223612415298325,0.8199539115355766
53430,154165,27042,17,0.8599999999999999,0.653863198521065,0.3179328699420986
53831,190286,164674,6,0.3,0.11897039193634845,0.9392038809652145
85476,153052,31431,25,0.6199999999999999,0.5863123121553458,0.36722107813954047
39841,105530,26563,25,0.29,0.5230560977920969,0.4999403534990103
6155,102879,43827,28,0.72,0.7076496077916776,0.3227261085657976
29041,67837,16536,12,0.8599999999999999,0.5520657753143564,0.47016698396899154
55115,69268,40201,8,0.58,0.18314910203845935,0.7670831297653398
29509,177661,166087,14,0.58,0.2902294482187987,0.7226704013872046
75804,89298,51167,17,0.48,0.23013697955161366,0.7933188559374394
35988,116347,53787,10,0.7999999999999999,0.4622859205652058,0.5888711396691555
50569,132755,61985,7,0.7999999999999999,0.4089589845956838,0.5956203023390043
66141,147118,73577,23,0.42999999999999994,0.4240776927364428,0.5864507061449865
26515,137832,130150,9,0.76,0.2825822450519473,0.7614325674107152
25326,154461,66550,7,0.7999999999999999,0.4884696460595231,0.5064892044312166
37377,172360,100081,11,0.8599999999999999,0.47068333720120675,0.6042449047420473
83686,152632,84148,26,0.33999999999999997,0.37698899313381207,0.6137081816090438
20549,112447,94899,6,0.48,0.21159913559276813,0.8405391231994519
60815,22920,14274,10,0.29,-0.4581178010471205,1.0
59821,132340,119846,29,0.6199999999999999,0.3781558107903883,0.6008492042206556
99759,121757,44443,24,0.33999999999999997,0.35019583268313115,0.6456616215765743
26517,63585,31958,4,0.52,0.2698491782653142,0.7114925626240259
48864,62229,26116,18,0.38,0.29056108888138976,0.7341404204327472
49653,162633,93397,23,0.38,0.4226955906857772,0.5903380976054181
98817,116059,99588,24,0.52,0.19733638925029506,0.7364097872029026
14260,87649,69674,8,0.57,0.28422342525299776,0.7694291826971585
45238,138154,57233,22,0.6199999999999999,0.5420583117390737,0.444979166131915
89076,99530,28499,25,0.71,0.47997578619511705,0.5817085598736847
72152,75204,56886,12,0.33999999999999997,0.031605872028083626,1.0
20837,151691,39707,14,0.52,0.5500856082430732,0.4618538497082525
86713,178492,137130,5,0.15,0.04194944311229634,1.0
7138,140030,61503,11,0.71,0.5320223523530672,0.48530207144183246
78631,42911,37556,16,0.7999999999999999,-0.09980890680711241,1.0
14169,174268,110823,5,0.42999999999999994,0.30023453531342525,0.6592618104761002
88509,166649,130354,18,0.48,0.25178414511938263,0.7281141143633562
31159,188280,59061,1,0.58,0.4088773103887827,0.6050742108843442
8625,193359,163056,28,0.8599999999999999,0.5873056956231671,0.3959689290589955
29665,190954,161995,4,0.8599999999999999,0.31205626485959964,0.6982532842418666
18272,119304,30426,11,0.72,0.5780418426875881,0.4774211674235581
9608,146969,105494,19,0.19999999999999998,0.343268648490498,0.5836295529344078
22943,113680,101546,6,0.6599999999999999,0.2401490147783251,0.7254434679627888
94477,127522,27612,8,0.8599999999999999,0.42912858957670047,0.6834932006905149
33279,21177,9760,5,0.48,-0.06179166076403647,1.0
58848,178059,83714,21,0.43999999999999995,0.45479182742798735,0.5734036285746306
56588,107163,44310,4,0.43999999999999995,0.24819047619047616,0.71411129436619
58216,157084,12151,20,0.42999999999999994,0.5868773140485346,0.3990889321081267
55191,141999,119793,18,0.72,0.3419510278241396,0.6051170047060064
30234,195211,184785,13,0.38,0.2188999800216176,0.784258292943741
25111,157513,124735,20,0.48,0.3794123151739856,0.6268489099584097
65929,108204,85758,22,0.72,0.33618576023067537,0.6423439627130619
75888,101929,81153,10,0.71,0.17117578902961864,0.7929038476919216
32410,187523,143299,10,0.72,0.35848332204582906,0.6862628968013931
18133,147556,31160,1,0.58,0.46266369378405486,0.5985655280972523
58493,43711,31122,9,0.58,-0.02225060053533434,1.0
4858,37727,19114,21,0.57,0.5397139184138681,0.5124165233679563
34393,58467,22625,10,0.48,0.31273792053637095,0.6612694098861913
73879,132356,115944,3,0.58,0.08614436821904564,0.862733862803666
71087,84315,74249,5,0.6599999999999999,0.042820613176777544,1.0
45613,185575,78794,3,0.7999999999999999,0.4264246261619291,0.476019450095628
61463,151733,100673,5,0.15,0.10808284947901908,0.8604707059615462
89233,20207,7665,25,0.48,-0.6825130895234325,1.0
56422,101437,77982,8,0.6199999999999999,0.1916228003588434,0.8275577981805532
98952,38752,21669,20,0.6199999999999999,-0.20370891824938064,1.0
16663,29715,24169,1,0.58,0.09042773010264174,0.9019487780783311
48364,55585,35682,9,0.42999999999999994,0.10119843482954033,0.9212521133414066
71471,30382,9437,5,0.6599999999999999,-0.18196840234349287,1.0
35094,45169,26932,24,0.6199999999999999,0.3544155062100113,0.6744903486636834
7221,98222,29226,27,0.7999999999999999,0.7689246808250698,0.2049552124635789
75020,199967,141728,29,0.72,0.509948651527502,0.5595617259233636
11638,165788,119099,3,0.38,0.23558805221125773,0.7923024631063355
17847,121268,110441,25,0.48,0.38556166507240164,0.6265316700032754
52688,184685,33179,28,0.52,0.6785535371037172,0.2729702684202838
79864,80545,44922,19,0.71,0.2824462722701595,0.7498496190195311
30294,176104,49936,21,0.57,0.6159691091627675,0.45274636649618727
42068,117359,28291,4,0.42999999999999994,0.36503779854974905,0.6053208045812765
57509,118723,17411,5,0.57,0.4170201477388543,0.5576132134917184
27215,116774,101410,22,0.58,0.3767110486923459,0.6217944276125391
73794,109818,11548,21,0.72,0.5823477754102242,0.4089365393380384
59853,80428,27740,18,0.43999999999999995,0.35078375690058183,0.6430988979673629
22920,161706,140870,20,0.48,0.35301883665417483,0.6252233334530876
37987,176193,133563,28,0.33999999999999997,0.41410059423473117,0.5705446615297138
31411,137360,58352,17,0.33999999999999997,0.4334727722772277,0.6178349417926156
42580,23631,11172,10,1.0,0.07033134442046474,0.9287512045343299
23972,179674,56399,15,0.42999999999999994,0.5134156639246635,0.5521735310857152
64436,198756,35111,23,0.42999999999999994,0.5910795347058705,0.39065438772852407
77316,143287,94570,5,0.6599999999999999,0.2221218673012904,0.7871121479919551
70567,68355,14866,15,0.29,0.24029895399019818,0.8219027434165449
76795,144917,131303,10,0.8599999999999999,0.2366001642319396,0.6532418127267673
35644,168702,66063,2,0.52,0.3559765266564711,0.6334566690659792
7410,143257,91205,18,0.48,0.45382123037617705,0.540308726666075
99584,37153,31997,21,0.6199999999999999,-0.3526017279896644,1.0
70619,196072,158240,27,0.7999999999999999,0.479129197437676,0.4754556960140337
93971,153533,81971,19,0.52,0.34882349722860884,0.6663828113048816
50908,96272,42643,15,0.52,0.37018480970583356,0.6431101142848589
56033,99751,28911,7,0.6599999999999999,0.38354871630359594,0.5750281452480176
49408,43387,33444,18,0.42999999999999994,0.05903572498674714,0.9864312759185216
92098,199761,49638,19,0.57,0.5232929400633758,0.5168793505549033
18537,28706,13894,19,0.42999999999999994,0.3316698251236675,0.7109385142889242
30306,29496,8300,8,0.6199999999999999,0.24520395985896387,0.7443448772767348
3581,115081,73056,21,0.52,0.5027358643042726,0.45473811298526234
38400,182728,72695,9,0.94,0.549822774834727,0.37768439689122774
5610,120082,94822,6,0.57,0.3011270798287837,0.6435575111097992
18813,29596,10251,24,0.72,0.5267561832680092,0.45243411659548377
36560,47766,7563,14,0.57,0.4180468534103756,0.5229140434571075
11505,26643,8959,24,0.48,0.5199494050970237,0.4796984549567395
78729,157069,60506,24,0.8599999999999999,0.5935408132731473,0.4720796178139843
58275,195006,146330,13,0.58,0.3141940453114263,0.6816719203964388
27886,104730,30051,15,0.58,0.5293451733027786,0.4645674512780572
50311,196325,39051,16,0.38,0.5175568572520056,0.5249478422138348
96304,23471,14028,10,0.38,-0.8560012781730646,1.0
90606,157469,58072,13,0.38,0.3238696886371286,0.6469596935694649
2596,27999,15195,21,0.7999999999999999,0.605105539483553,0.32984937269074077
15578,170787,165381,7,0.33999999999999997,0.15729747580319345,0.8125919211787176
8236,27531,9283,20,0.48,0.5193804801859723,0.5040582326177789
10057,188553,97573,28,0.33999999999999997,0.5590054043160279,0.4376681698063705
33472,160905,12896,6,0.57,0.5365343214940493,0.4757295703948721
19181,153715,45785,11,0.42999999999999994,0.4824225677389975,0.5544196271156242
8427,165361,120359,11,0.72,0.4195692212795036,0.5663644008645857
3039,70601,16929,24,0.72,0.7471729295619042,0.2925403044191872
97739,185593,127788,17,0.19999999999999998,0.19659518408560667,0.7406903447559309
91036,101912,11588,1,0.72,0.31253347986498164,0.6974949799965654
72207,82032,12521,26,0.43999999999999995,0.4668768773161694,0.5905549901552665
69684,70669,17485,10,0.72,0.3212130354186419,0.656367953628664
13424,116111,83258,7,0.7999999999999999,0.388493855018043,0.712006609446957
49277,50651,9666,3,0.33999999999999997,0.1638039130520622,0.8007444013647025
31073,83870,14283,20,0.57,0.5917332776916657,0.38274491968698593
15439,38133,32251,14,0.33999999999999997,0.1822381139695277,0.8147097147569725
24148,194023,96179,10,0.57,0.43537844997758,0.5278286275562782
79525,108664,56578,11,0.19999999999999998,0.1421793786350585,0.7662821989451982
76439,53243,26800,5,0.29,-0.09503989256803713,1.0
7471,57991,18521,20,0.71,0.6466000413857322,0.3928449235159403
7129,152970,9135,1,0.72,0.5881317905471661,0.39827260939916204
20574,149951,22071,5,0.85,0.6049633213516415,0.4046127268416567
25650,100685,59400,13,0.38,0.3315900084421711,0.6804718984405963
1625,21283,5923,26,0.43999999999999995,0.6577755015740262,0.4015938010042114
89208,112051,29217,3,0.52,0.24285982275927925,0.8866183593416515
31430,115665,5645,28,0.33999999999999997,0.6809581982449314,0.21294905680463883
9846,66305,51037,12,0.6199999999999999,0.3535590076163185,0.61604989302896
96148,111353,95301,21,0.42999999999999994,0.13762599121712027,0.8847419738924103
42355,104246,81975,22,0.42999999999999994,0.31256598814342995,0.6267376428239418
78612,52602,14122,20,0.48,0.18827208090947117,0.8352058775581752
42314,41447,8830,3,0.57,0.20950725022317662,0.7401647002224283
10028,122932,76906,21,0.6199999999999999,0.521288777535548,0.5128821476956231
57026,70939,34516,18,0.29,0.23121432498343647,0.7390789461778192
72737,78810,20223,6,0.71,0.2934758279406167,0.7719031125973824
8972,42010,13787,8,0.7999999999999999,0.524656034277553,0.45648005542826253
53830,38351,9088,14,0.19999999999999998,0.08412818440197128,0.869099880495799
52642,114840,83610,20,0.48,0.3152591431556949,0.7390399626530567
49937,182727,48472,9,0.6599999999999999,0.49990573916279474,0.41977541055674616
71863,112493,103344,27,0.8599999999999999,0.3688852106353283,0.670076491080352
63595,109709,59869,23,0.6599999999999999,0.4358161317667647,0.4828833136444076
50312,180237,100998,5,0.72,0.3581120524642554,0.617095026998904
7868,92692,72580,29,0.33999999999999997,0.4533256807491477,0.5207786867481627
72353,157653,115155,15,0.58,0.29414519228939506,0.7179072315660132
96519,165639,94906,25,0.19999999999999998,0.3060003380846298,0.6816965375088728
47071,28770,16093,2,0.58,-0.12058116093152588,1.0
86425,183399,47070,6,0.33999999999999997,0.3179664992720789,0.7223617095619711
29533,132082,90371,1,0.06,0.0872397147226723,0.9230627611713034
83875,93869,10410,13,0.52,0.3735805644035838,0.6413154888594064
4328,116038,21724,17,0.7999999999999999,0.7239247487891898,0.29051187094680825
5148,156535,75448,17,0.29,0.45433861436739387,0.5447334853443028
83776,101554,26386,14,0.33999999999999997,0.290588928057979,0.7632183875740217
55784,98279,65348,13,0.52,0.24974810488507213,0.7574952783478056
38711,43377,9033,1,0.42999999999999994,0.18797295801922675,0.7812883987229273
79431,30651,5935,17,0.58,-0.11089217317542654,1.0
35110,106120,56649,11,0.6599999999999999,0.39521635883905015,0.6268806736394203
17654,84200,51619,20,0.52,0.4478788598574822,0.5800596293705491
35124,114475,7282,23,0.38,0.6265070976195677,0.41937016271363836
73482,139006,110368,24,0.57,0.3348205545084385,0.757190302233661
36527,187860,67493,12,0.48,0.4619596508037901,0.5007666745931041
82779,59758,8134,11,0.6599999999999999,0.23798259647243875,0.8136447137446442
89003,196806,106665,28,0.58,0.5015366604676686,0.5547985963737105
40879,195251,122961,18,0.29,0.35228663105438635,0.5635414593345661
79739,159839,27852,2,1.0,0.5006386426341507,0.4590678540410399
84320,168510,10744,18,0.57,0.5753807489169783,0.4195128290812717
37726,27597,19325,27,0.72,0.19578729572054937,0.8246756236593128
53661,135598,124028,5,0.72,0.18140951931444416,0.6874010689080925
25872,157416,23800,13,0.58,0.5942170046246887,0.3447494928912156
28216,187647,178333,5,0.38,0.1387440673178894,0.8940799932738651
57382,132169,14569,26,0.58,0.6596610854285045,0.3158003080803514
75750,20138,5358,1,0.58,-0.6508892640778627,1.0
85590,190492,60568,28,0.7999999999999999,0.6580246939504021,0.4586834850559499
58842,104754,82988,21,0.33999999999999997,0.2265980105771617,0.8566240021202488
4130,46421,6708,12,0.33999999999999997,0.5375080674694642,0.5405872537688411
46599,27684,6207,9,0.71,0.10834243606415261,0.9105125836309567
78905,58635,34535,23,0.6599999999999999,0.18869753560160313,0.8098393237141479
21378,99063,7454,27,0.58,0.74916136196158,0.3105364510378339
52471,26142,17014,7,0.19999999999999998,-0.33247800474332495,1.0
2884,102035,13016,17,0.52,0.666494928210908,0.37777801973410885
87198,187260,141917,3,1.0,0.28716009825910493,0.752296602998229
12444,71151,22611,24,0.57,0.6314157355483409,0.4290475700000961
43227,140356,91156,8,0.58,0.3018205420502152,0.6262012552809757
76469,171203,99754,8,0.48,0.2569369228342961,0.7665791926921184
61888,61869,37955,13,0.42999999999999994,0.11351841794759893,0.7936896935048848
81307,42031,10185,17,0.7999999999999999,0.1327355999143489,0.7868864068672023
18122,120859,73487,14,0.72,0.4678013552983229,0.4940624057733664
68404,43782,33454,17,0.29,-0.11735475766296655,1.0
7690,181822,21566,10,0.76,0.6678675627811816,0.2666914172628627
16737,20159,11555,20,0.57,0.2926478992013493,0.6725786392325701
38213,163309,151721,24,0.58,0.3721854031314869,0.7056695238997235
59108,109678,59238,26,0.7999999999999999,0.5222797644012472,0.48720582203502905
55603,173512,85811,29,0.29,0.483041657061183,0.5620388886672373
97367,156865,141643,18,0.24,0.10460383131992479,0.9149194111765196
39629,52441,46430,29,0.42999999999999994,0.2381434183177285,0.7566954940356467
94730,147881,76854,21,0.06,0.2279445500098052,0.7192860991355704
6342,98356,21211,12,0.33999999999999997,0.5163938346415065,0.5365303925350098
88092,170043,161671,3,0.71,0.10727668295666387,0.8673163071609706
25472,22257,15980,4,0.52,-0.034525228018151555,1.0
35273,138581,132927,1,0.38,0.06396074497947048,0.9696835658364021
62991,67377,28554,6,0.7999999999999999,0.25001113139498643,0.7417680465819445
61448,74336,13547,28,0.24,0.43111644425312085,0.5803771661530761
62497,77134,7100,13,0.8599999999999999,0.5081091606814115,0.5658851443142805
83094,190851,36881,25,0.52,0.5980859728269698,0.44761512513394036
85679,116664,6401,26,0.48,0.5617307481313859,0.3908470082308073
77903,163022,81240,26,0.57,0.4883045355841542,0.43546019191645546
94074,181188,86029,21,0.19999999999999998,0.32431595911429023,0.6080060480789901
6655,81240,25093,16,0.42999999999999994,0.5408746922698179,0.47691495647656523
89339,136895,9426,1,0.52,0.34267482377004277,0.695751031937435
94608,196743,95306,9,0.57,0.32297120100842214,0.6856585041873212
25468,132217,26607,23,0.71,0.7047182359303266,0.27314551146044036
49929,81215,60835,9,0.52,0.16194286769685406,0.7812000632763348
79415,126956,60751,15,0.43999999999999995,0.30293244903746186,0.6500972617725123
33483,52430,28091,22,0.38,0.3281007057028419,0.6174452884897679
85203,178117,52118,29,0.6599999999999999,0.6274515964225761,0.36475732986096876
89009,64605,24029,18,0.6599999999999999,0.21590263911461954,0.8384571201051457
992,63527,16691,11,0.58,0.5742199064964503,0.43487204536380275
54610,67153,47506,28,0.71,0.3660630053757836,0.5044096959682135
